name,location,description,batch,industry,yc_url
"Freeport MarketsNew York, NY, USA",DeFi Brokerage for Real Assets,FALL 2025,FINTECH,CONSUMER FINANCE,https://www.ycombinator.com/companies/freeport-markets
"MiniswapSan Francisco, CA, USA",The Marketplace for Complex Hobbies,FALL 2025,CONSUMER,GAMING,https://www.ycombinator.com/companies/miniswap
"Rovi HealthSan Francisco, CA, USA",AI healthcare concierge for employees,FALL 2025,HEALTHCARE,Unknown,https://www.ycombinator.com/companies/rovi-health
Castari,Vercel for AI Agents – Deploy sandboxed agents with MCP tools & skills,FALL 2025,B2B,INFRASTRUCTURE,https://www.ycombinator.com/companies/castari
"JarminSan Francisco, CA, USA",24/7 Machine Learning Engineer employees,FALL 2025,B2B,Unknown,https://www.ycombinator.com/companies/jarmin
"ExonicSan Francisco, CA, USA",Crowdsourcing drug discovery.,FALL 2025,HEALTHCARE,DRUG DISCOVERY AND DELIVERY,https://www.ycombinator.com/companies/exonic
"LemmaSan Francisco, CA, USA",Continuous learning for AI agents,FALL 2025,B2B,"ENGINEERING, PRODUCT AND DESIGN",https://www.ycombinator.com/companies/uselemma
Mantle,Build internal agents to automate back office work with one prompt,FALL 2025,B2B,OPERATIONS,https://www.ycombinator.com/companies/mantle
Karumi,The Waymo of Personalized demos,FALL 2025,B2B,SALES,https://www.ycombinator.com/companies/karumi
"IcarusLos Angeles, CA, USA",Stratospheric birds for defense,FALL 2025,INDUSTRIALS,DEFENSE,https://www.ycombinator.com/companies/icarus
"SavaSan Francisco, CA, USA",Building the future of trusts,FALL 2025,FINTECH,Unknown,https://www.ycombinator.com/companies/savahq
Waffer,Lovable for Animated Graphics Videos,FALL 2025,B2B,Unknown,https://www.ycombinator.com/companies/waffer
"DenkiSan Francisco, CA, USA",The full-stack AI financial audit firm,FALL 2025,B2B,FINANCE AND ACCOUNTING,https://www.ycombinator.com/companies/denki
"ArctenSan Francisco, CA, USA",We make any product AI-native in an afternoon,FALL 2025,B2B,Unknown,https://www.ycombinator.com/companies/arcten
MetorialRemote,The infra layer for AI integrations.,FALL 2025,B2B,Unknown,https://www.ycombinator.com/companies/metorial
Kalpa Labs,Scaling Generalist Speech models,FALL 2025,B2B,Unknown,https://www.ycombinator.com/companies/kalpa-labs
Absurd,AI Brand and Performance Ads at Scale,FALL 2025,B2B,MARKETING,https://www.ycombinator.com/companies/absurd
"Clad LabsSan Francisco, CA, USA",the brainrot ide,FALL 2025,CONSUMER,Unknown,https://www.ycombinator.com/companies/clad-labs
"Automax.aiSan Francisco, CA, USA",AI native real-estate appraisal firm,FALL 2025,REAL ESTATE AND CONSTRUCTION,HOUSING AND REAL ESTATE,https://www.ycombinator.com/companies/automax-ai
"SpecificStockholm, Stockholm County, Sweden",Build and deploy production-ready backends without code,FALL 2025,B2B,"ENGINEERING, PRODUCT AND DESIGN",https://www.ycombinator.com/companies/specific
"PrimerSan Francisco, CA, USA",AI Product Demos,FALL 2025,B2B,Unknown,https://www.ycombinator.com/companies/primer
"NarrativeSan Francisco, CA, USA",AI-Powered Sports Highlights,FALL 2025,B2B,MARKETING,https://www.ycombinator.com/companies/usenarrative
Crunched,Excel AI analyst for Power Users,FALL 2025,B2B,FINANCE AND ACCOUNTING,https://www.ycombinator.com/companies/crunched
Lua Global Inc,The mid-market agent platform,FALL 2025,B2B,Unknown,https://www.ycombinator.com/companies/lua-global-inc
"Spatial AIPalo Alto, CA, USA",Data for robot foundational models,FALL 2025,B2B,Unknown,https://www.ycombinator.com/companies/spatial-ai
"SourcebotSan Francisco, CA, USA",Helping humans and AI agents understand massive codebases,FALL 2025,B2B,"ENGINEERING, PRODUCT AND DESIGN",https://www.ycombinator.com/companies/sourcebot
"ZalosSan Francisco, CA, USA","Computer Agents for Finance tasks like reconciliation, in your system!",FALL 2025,B2B,OPERATIONS,https://www.ycombinator.com/companies/zalos
"HireGlideSan Francisco, CA, USA",The AI-native job board,FALL 2025,B2B,RECRUITING AND TALENT,https://www.ycombinator.com/companies/hireglide
"AsideSan Francisco, CA, USA",Live answer copilot for enterprise tech sales,FALL 2025,B2B,SALES,https://www.ycombinator.com/companies/aside
"Scott AINew York, NY, USA",Agentic Workspace for Engineering Team Alignment,FALL 2025,B2B,Unknown,https://www.ycombinator.com/companies/scott-ai
"EverestSan Francisco, CA, USA",AI employees for outsourced IT,FALL 2025,B2B,Unknown,https://www.ycombinator.com/companies/everest
"Expected ParrotCambridge, MA, USA",Simulate your customers with AI agents,FALL 2025,B2B,Unknown,https://www.ycombinator.com/companies/expected-parrot
"Imagine AISan Francisco, CA, USA",Your AI Clone for B2B Content,FALL 2025,B2B,SALES,https://www.ycombinator.com/companies/imagine-ai
"Anto BiosciencesSan Francisco, CA, USA",A Foundation Model for Microbial Communities.,FALL 2025,HEALTHCARE,Unknown,https://www.ycombinator.com/companies/anto-biosciences
"Patent WatchToronto, ON, Canada",AI for detecting patent infringements,FALL 2025,B2B,Unknown,https://www.ycombinator.com/companies/patent-watch
"s2.devSan Francisco, CA, USA","API for unlimited, durable, real-time streams",FALL 2025,B2B,INFRASTRUCTURE,https://www.ycombinator.com/companies/s2-dev
Tornyol,We build micro-drones that kill mosquitoes.,FALL 2025,CONSUMER,CONSUMER ELECTRONICS,https://www.ycombinator.com/companies/tornyol
"NucleoSan Francisco, CA, USA",The first Agentic platform for Oncology,FALL 2025,HEALTHCARE,Unknown,https://www.ycombinator.com/companies/nucleo
"LeadbaySan Francisco, CA, USA",Discover and qualify SMB leads that couldn't be found before.,FALL 2025,B2B,SALES,https://www.ycombinator.com/companies/leadbay
"Pixley AISan Francisco, CA, USA",The first platform where parents & kids can co-create AI cartoon shows,FALL 2025,CONSUMER,CONTENT,https://www.ycombinator.com/companies/pixley-ai
"Cortex AISan Francisco, CA, USA",Large-scale real-world robot & human data for embodied AI,FALL 2025,INDUSTRIALS,MANUFACTURING AND ROBOTICS,https://www.ycombinator.com/companies/cortex-ai
"InspectorSan Francisco, CA, USA",AI IDE for front-end development,FALL 2025,B2B,"ENGINEERING, PRODUCT AND DESIGN",https://www.ycombinator.com/companies/inspector
"ThesisSan Francisco, CA, USA",The AI discovery engine.,FALL 2025,B2B,Unknown,https://www.ycombinator.com/companies/thesis
"Play HealthBoulder, CO, USA",Perimenopause Care Platform,FALL 2025,HEALTHCARE,Unknown,https://www.ycombinator.com/companies/play-health
"CaseySan Francisco, CA, USA",Casey automates workflows for the insurance industry,FALL 2025,FINTECH,INSURANCE,https://www.ycombinator.com/companies/casey
"SelfinSan Francisco, CA, USA",Building the first AI Bank,FALL 2025,FINTECH,CONSUMER FINANCE,https://www.ycombinator.com/companies/selfin
"CompyleSan Francisco, CA, USA",The coding agent that actually collaborates with you,FALL 2025,B2B,"ENGINEERING, PRODUCT AND DESIGN",https://www.ycombinator.com/companies/compyle
"LexiSan Francisco, CA, USA",AI Associates for Corporate Law,FALL 2025,B2B,LEGAL,https://www.ycombinator.com/companies/lexi
Codyco,The AI Reservation Team for Hotel Groups,FALL 2025,B2B,Unknown,https://www.ycombinator.com/companies/codyco
ComplyDo,Global Compliance for Enterprises,FALL 2025,B2B,LEGAL,https://www.ycombinator.com/companies/complydo
"BraviSan Francisco, CA, USA",The AI operating system powering home services businesses,FALL 2025,B2B,Unknown,https://www.ycombinator.com/companies/bravi
"RovrSan Francisco, CA, USA",AI FDE Engine that runs your engineering workflows,FALL 2025,B2B,"ENGINEERING, PRODUCT AND DESIGN",https://www.ycombinator.com/companies/rovr
Sunflower,Building the Sobriety Platform for the future of Superintelligence. 🌻,FALL 2025,CONSUMER,Unknown,https://www.ycombinator.com/companies/sunflower
"CaptainSan Francisco, CA, USA",The High Accuracy RAG API,FALL 2025,B2B,INFRASTRUCTURE,https://www.ycombinator.com/companies/captain
"RedaptoSan Francisco, CA, USA",Self-improving systems for Customer Support Teams,FALL 2025,B2B,Unknown,https://www.ycombinator.com/companies/redapto
"ArticulateSan Francisco, CA, USA",Automatic Construction Drawing Clash Detection,FALL 2025,REAL ESTATE AND CONSTRUCTION,CONSTRUCTION,https://www.ycombinator.com/companies/articulate
"Aleph LabSan Francisco, CA, USA",AI language buddy in the games kids love,FALL 2025,CONSUMER,Unknown,https://www.ycombinator.com/companies/aleph-lab
"LogicalSan Francisco, CA, USA","A proactive desktop copilot. Clippy, but actually good.",FALL 2025,B2B,PRODUCTIVITY,https://www.ycombinator.com/companies/logical
"Agentic FabriqSunnyvale, CA, USA",Okta for Agents.,FALL 2025,B2B,Unknown,https://www.ycombinator.com/companies/agentic-fabriq
"TensrSan Francisco, CA, USA",Fully autonomous robotic factories,FALL 2025,INDUSTRIALS,MANUFACTURING AND ROBOTICS,https://www.ycombinator.com/companies/tensr
"Kestrel AISan Francisco, CA, USA",AI-Native Cloud Incident Response Platform,FALL 2025,B2B,SECURITY,https://www.ycombinator.com/companies/kestrel-ai
"SanctumSan Francisco, CA, USA",Catch software issues with user simulations,FALL 2025,B2B,Unknown,https://www.ycombinator.com/companies/sanctum
"LogosGuardSan Francisco, CA, USA",The risk management software for enterprises adopting AI,FALL 2025,B2B,Unknown,https://www.ycombinator.com/companies/logosguard
"SciloopSan Francisco, CA, USA",AI Co-Scientist that automates ML experimentation and analysis.,FALL 2025,B2B,PRODUCTIVITY,https://www.ycombinator.com/companies/sciloop
"MultifactorSan Francisco, CA, USA","Zero-trust authentication, authorization, and auditing for AI agents",FALL 2025,B2B,SECURITY,https://www.ycombinator.com/companies/multifactor
"Allus AIAtlanta, GA, USA",Transforming manufacturing with our next-gen Vision Foundation Model,FALL 2025,INDUSTRIALS,MANUFACTURING AND ROBOTICS,https://www.ycombinator.com/companies/allus-ai
"Unsiloed AISan Francisco, CA, USA",API for parsing multimodal unstructured data,FALL 2025,B2B,Unknown,https://www.ycombinator.com/companies/unsiloed-ai
SF Tensor,Infrastructure for AI labs to focus on research.,FALL 2025,B2B,INFRASTRUCTURE,https://www.ycombinator.com/companies/sf-tensor
AnswerThis,End-to-end workspace to accelerate scientific discovery,FALL 2025,CONSUMER,Unknown,https://www.ycombinator.com/companies/answerthis
"NivaraSan Francisco, CA, USA",The intelligence layer for how your teams use AI,FALL 2025,B2B,INFRASTRUCTURE,https://www.ycombinator.com/companies/nivara
"LakoniaSan Francisco, CA, USA",Delivering AI-powered situational awareness in tactical environments.,FALL 2025,GOVERNMENT,Unknown,https://www.ycombinator.com/companies/lakonia
"SellRazeSan Francisco, CA, USA",The fastest way to sell online.,FALL 2025,CONSUMER,Unknown,https://www.ycombinator.com/companies/sellraze
Mod AI,Our AI Agents Replace Accounting Clerks,FALL 2025,B2B,Unknown,https://www.ycombinator.com/companies/mod-ai
"Semble AISan Francisco, CA, USA",Autonomous building-system design for construction companies.,FALL 2025,B2B,"ENGINEERING, PRODUCT AND DESIGN",https://www.ycombinator.com/companies/semble-ai
Flick,"Figma + Cursor, for AI Filmmaking",FALL 2025,CONSUMER,CONTENT,https://www.ycombinator.com/companies/flick
"AtlasGridMountain View, CA, USA",Accelerate Product Iteration,FALL 2025,B2B,"ENGINEERING, PRODUCT AND DESIGN",https://www.ycombinator.com/companies/atlasgrid
Wardstone,Satellites for Missile Defense,FALL 2025,INDUSTRIALS,AVIATION AND SPACE,https://www.ycombinator.com/companies/wardstone
"NessieSan Francisco, CA, USA",Shareable AI Brains for Everyone,FALL 2025,CONSUMER,Unknown,https://www.ycombinator.com/companies/nessie
Hypercubic,AI to maintain and modernize COBOL.,FALL 2025,B2B,Unknown,https://www.ycombinator.com/companies/hypercubic
"Cranston AISan Francisco, CA, USA",Full Stack AI Accounting Firm,FALL 2025,B2B,FINANCE AND ACCOUNTING,https://www.ycombinator.com/companies/cranston-ai
"QuestomSan Francisco, CA, USA",AI Agents for B2B Inbound Sales,FALL 2025,B2B,SALES,https://www.ycombinator.com/companies/questom
"Velum LabsSan Francisco, CA, USA",Firewall that controls access to information across AI and humans,FALL 2025,B2B,Unknown,https://www.ycombinator.com/companies/velum-labs
"Veria LabsSan Francisco, CA, USA",Continuous AI pentesting that finds and fixes vulnerabilities,FALL 2025,B2B,SECURITY,https://www.ycombinator.com/companies/veria-labs
"IrisSan Francisco, CA, USA",The Digital Extension of Yourself,FALL 2025,CONSUMER,Unknown,https://www.ycombinator.com/companies/iriscal
"PlayVisionSan Francisco, CA, USA",AI Moneyball for Sports,FALL 2025,B2B,ANALYTICS,https://www.ycombinator.com/companies/playvision
"KoyalSan Francisco, CA, USA",Agentic AI Filmmaking Platform,FALL 2025,CONSUMER,CONTENT,https://www.ycombinator.com/companies/koyal
"Kaigo HealthSan Francisco, CA, USA",AI outpatient care workforce,FALL 2025,HEALTHCARE,HEALTHCARE IT,https://www.ycombinator.com/companies/kaigo-health
"NorraSan Francisco, CA, USA",Automating equipment operations for nursing facilities,FALL 2025,HEALTHCARE,Unknown,https://www.ycombinator.com/companies/norra
"SorenSan Francisco, CA, USA",AI agents for evaluating and debugging AI systems.,FALL 2025,B2B,Unknown,https://www.ycombinator.com/companies/soren
"LunavoSan Francisco, CA, USA",Lunavo is the AI assistant for carriers.,FALL 2025,B2B,SUPPLY CHAIN AND LOGISTICS,https://www.ycombinator.com/companies/lunavo
"DariSan Francisco, CA, USA",An API to build the most reliable browser use agents,FALL 2025,B2B,Unknown,https://www.ycombinator.com/companies/dari
"The Context CompanySan Francisco, CA, USA",Semantic observability for AI agents to help teams fix failures fast,FALL 2025,B2B,"ENGINEERING, PRODUCT AND DESIGN",https://www.ycombinator.com/companies/the-context-company
"SorceSan Francisco, CA, USA",Tinder for jobs,FALL 2025,B2B,HUMAN RESOURCES,https://www.ycombinator.com/companies/sorce
Caddy,The voice interface that works proactively for you,FALL 2025,B2B,"ENGINEERING, PRODUCT AND DESIGN",https://www.ycombinator.com/companies/caddy
"Alt-XSan Francisco, CA, USA",AI Diligence Tools for Private Investors,FALL 2025,FINTECH,Unknown,https://www.ycombinator.com/companies/alt-x
Locus,Payment infrastructure for AI agents,FALL 2025,B2B,"ENGINEERING, PRODUCT AND DESIGN",https://www.ycombinator.com/companies/locus
"DeeptraceSan Francisco, CA, USA",AI agents for on-call,FALL 2025,B2B,Unknown,https://www.ycombinator.com/companies/deeptrace
Aspect,AI Visual Understanding for Multimodal Data,FALL 2025,B2B,"ENGINEERING, PRODUCT AND DESIGN",https://www.ycombinator.com/companies/aspect-inc
"ScoopSan Francisco, CA, USA",Automating regulatory submissions for life sciences,FALL 2025,B2B,Unknown,https://www.ycombinator.com/companies/scoop
"HyperspellSan Francisco, CA, USA",Memory for AI Agents,FALL 2025,B2B,INFRASTRUCTURE,https://www.ycombinator.com/companies/hyperspell
"Bolna AIBengaluru, KA, India",Voice AI to enable India's next billion,FALL 2025,B2B,Unknown,https://www.ycombinator.com/companies/bolna-ai
"NexusBrussels, Brussels, Belgium",We help non-technical teams build AI agents without engineers,FALL 2025,B2B,Unknown,https://www.ycombinator.com/companies/gpt
"SylvianSan Francisco, CA, USA",Specialized AI Agents.,FALL 2025,B2B,Unknown,https://www.ycombinator.com/companies/sylvian
"ZavoSan Francisco, CA, USA",AI Point of Sale for Restaurants,FALL 2025,FINTECH,PAYMENTS,https://www.ycombinator.com/companies/zavo
"MOVEdotSan Francisco, CA, USA",AI Agents for Hardware Engineering,FALL 2025,B2B,"ENGINEERING, PRODUCT AND DESIGN",https://www.ycombinator.com/companies/movedot
"ParrotSan Francisco, CA, USA",TikTok for language learning,FALL 2025,CONSUMER,Unknown,https://www.ycombinator.com/companies/parrot
Brickwise,AI property manager for landlords and estate agents,FALL 2025,REAL ESTATE AND CONSTRUCTION,HOUSING AND REAL ESTATE,https://www.ycombinator.com/companies/brickwise
Parse,Build an API to interact with any website.,FALL 2025,B2B,Unknown,https://www.ycombinator.com/companies/parse-bot
Structured AI,AI workforce for Construction Engineering,FALL 2025,REAL ESTATE AND CONSTRUCTION,CONSTRUCTION,https://www.ycombinator.com/companies/structured-ai
"UplaneSan Francisco, CA, USA",Replace marketing agencies with AI,FALL 2025,B2B,MARKETING,https://www.ycombinator.com/companies/uplane
"AirCapsSan Francisco, CA, USA",The AI copilot for in-person conversations.,FALL 2025,CONSUMER,Unknown,https://www.ycombinator.com/companies/aircaps
"BrickantaStockholm, Stockholm County, Sweden",The agentic AI platform for construction estimation & procurement,FALL 2025,B2B,INFRASTRUCTURE,https://www.ycombinator.com/companies/brickanta
"RemedySan Francisco, CA, USA",AI Agents for Pharmacies,FALL 2025,HEALTHCARE,Unknown,https://www.ycombinator.com/companies/remedy
"SemioticSan Francisco, CA, USA",Studio-Grade Design at Scale,FALL 2025,B2B,"ENGINEERING, PRODUCT AND DESIGN",https://www.ycombinator.com/companies/semiotic
"LapisSan Francisco, CA, USA",AI Growth Marketer for Startups,FALL 2025,B2B,ANALYTICS,https://www.ycombinator.com/companies/lapis
"EfferenceSan Francisco, CA, USA",We build the eyes and visual cortex for robots.,FALL 2025,INDUSTRIALS,MANUFACTURING AND ROBOTICS,https://www.ycombinator.com/companies/efference
"DigipalsSan Francisco, CA, USA",The future of Social in the age of AI,FALL 2025,CONSUMER,SOCIAL,https://www.ycombinator.com/companies/digipals
Mixy,Make mashups without knowing how to DJ,FALL 2025,CONSUMER,Unknown,https://www.ycombinator.com/companies/mixy
"AutoAceSan Francisco, CA, USA",AI-native operating system for car dealerships,FALL 2025,B2B,Unknown,https://www.ycombinator.com/companies/autoace
"FernstoneNew York, NY, USA",Full-stack AI insurance brokerage for businesses.,FALL 2025,FINTECH,INSURANCE,https://www.ycombinator.com/companies/fernstone
"NoriNew York, NY, USA",AI health coach in your pocket,FALL 2025,HEALTHCARE,CONSUMER HEALTH AND WELLNESS,https://www.ycombinator.com/companies/nori
"Null LabsSan Francisco, CA, USA",End-to-end Simulation for Defense Autonomy,FALL 2025,INDUSTRIALS,Unknown,https://www.ycombinator.com/companies/null-labs
Parametric,Robots for frontline physical labor — starting with laundry,FALL 2025,INDUSTRIALS,MANUFACTURING AND ROBOTICS,https://www.ycombinator.com/companies/parametric
"ProxSan Francisco, CA, USA",AI agents for third-party logistics,FALL 2025,B2B,SUPPLY CHAIN AND LOGISTICS,https://www.ycombinator.com/companies/prox
"Autonomous Technologies GroupNew York, NY, USA",Superintelligent financial advisor,FALL 2025,FINTECH,Unknown,https://www.ycombinator.com/companies/autonomous-technologies-group
"Fifth DoorSan Francisco, CA, USA",Create and play games with AI,FALL 2025,CONSUMER,GAMING,https://www.ycombinator.com/companies/fifth-door
Piggy Robotics,Humanoid robots that do your chores for the price of an iPhone!,FALL 2025,INDUSTRIALS,MANUFACTURING AND ROBOTICS,https://www.ycombinator.com/companies/piggy-robotics
Goldbridge,Ramp for Real Estate,FALL 2025,REAL ESTATE AND CONSTRUCTION,HOUSING AND REAL ESTATE,https://www.ycombinator.com/companies/goldbridge
"OpenBuilderSan Francisco, CA, USA",The vibe coding platform where builders actually finish.,FALL 2025,B2B,"ENGINEERING, PRODUCT AND DESIGN",https://www.ycombinator.com/companies/openbuilder
